STAGECOACH STOP ARCHER--NM,"42925 US HWY 70, PORTALES, NM  88130",505-356-4261,,34.1416,-103.213
RAPID CITY SCHEELS-SD,"1225 EGLIN STREET, RAPID CITY, SD  57701",605-342-9033,,44.0986,-103.191
"SCOTTS GARAGE, INC.--TX","DBA S & S FIREARMS, AMARILLO, TX  79106",806-371-7255,,35.2019,-101.895
BOOMER'S ARCHERY--TX,"3636 DORIS DR., AMARILLO, TX  79109",806-674-8815,,35.1715,-101.88
KIOWA ARCHERY--TX,"12216 E. COUNTY ROAD 102, MIDLAND, TX  79706",432-631-1300,,32.0299,-101.871
LUBBOCK INDOOR ARCHERY--TX,"2114 AVE J, LUBBOCK, TX  79411",806-763-5300,,33.5752,-101.847
DAKOTA SQUARE SCHEELS---ND,"2400 10TH ST SW, MINOT, ND  58701",701-852-1010,,48.2076,-101.307
ARCHERS ELITE---ND,"1500 S. BROADWAY, MINOT, ND  58701",701-838-3759,,48.22,-101.296
KIRKWOOD SCHEELS-ND,"800 KIRKWOOD MALL, BISMARCK, ND  58504",701-255-7255,,46.7977,-100.785
FLATWATER ARCHERY--NE,"202 S. MALONEY DR., NORTH PLATTE, NE  69101",308-534-3811,,41.0224,-100.768
ENDZONE SPORTS & OFFICE SUPPLIES---KS,"102 SOUTH SECOND STREET, NORTON, KS  67654",785-877-2611,,39.829,-99.8914
GARY'S GUN SHOP 2---SD,"321 S MAIN ST., WINNER, SD  57580",605-842-3868,,43.3806,-99.8569
B & B PAWN & TRADING--TX,"242 BUTTERNUT ST., ABILENE, TX  79602",325-673-3831,,32.447,-99.738
ADRENALINE OUTDOORS--OK,"RT 1, Box 454, Fort Supply, OK  73841",580-216-0317,,36.5737,-99.5723
BORDER SPORTING GOODS---TX,"4610 SAN BERNARDO AVE., LAREDO, TX  78041",956-722-1007,,27.5429,-99.5049
NELSON ARCHERY--NE,"135 CENTER AVE., BERWYN, NE  68814",308-935-1627,,41.3504,-99.5009
"OUTFITTERS PLUS, LLC--TX","1834 B JUNCTION HWY, KERRVILLE, TX  78028",830-895-0414,,30.0672,-99.1808
